manager,manager,years_active,first_year,last_year,total_actions,current_holdings,buy_actions,sell_actions,add_actions,reduce_actions,consistency_score,2022_inflation_actions,2022_inflation_buy_ratio,total_crisis_actions,crisis_buying_ratio,2008_financial_actions,2008_financial_buy_ratio,2020_covid_actions,2020_covid_buy_ratio,current_portfolio_value,estimated_initial_value,total_return_pct,annualized_return_pct,track_record_score
EC,John Armitage,7,2019,2025,800,27,123,0,216,339,0.6452304151518434,97.0,0.3608247422680412,167,0.3592814371257485,,,70.0,0.3571428571428571,8666730000,4447402858.013611,94.87,13.55,23.597422674294357
abc,David Abrams,13,2013,2025,367,13,77,0,105,109,0.5155735319856241,10.0,0.2,23,0.4347826086956521,,,13.0,0.6153846153846154,5636004000,1632549602.8534908,245.23,18.86,23.559296726669004
OCL,Bryan Lawrence,7,2019,2025,108,10,11,0,33,53,0.5137345923888562,16.0,0.5625,26,0.6153846153846154,,,10.0,0.7,189772000,97383042.41287762,94.87,13.55,23.52853800162328
BAUPOST,Seth Klarman,11,2015,2025,1000,22,212,0,259,300,0.5716363694242939,105.0,0.2761904761904762,157,0.3439490445859872,,,52.0,0.4807692307692308,3481228000,1220149176.703808,185.31,16.85,23.172217834345748
HC,Li Lu,6,2020,2025,31,8,11,0,9,7,0.4204311049941753,3.0,0.6666666666666666,9,0.7777777777777778,,,6.0,0.8333333333333334,2212437000,1248863008.3863883,77.16,12.86,22.986399877661285
LPC,Stephen Mandel,9,2017,2025,1000,22,194,0,272,337,0.5441998793330567,92.0,0.4021739130434782,186,0.4247311827956989,,,94.0,0.4468085106382978,11414324000,4840787623.731892,135.79,15.09,22.83130941461812
T,Torray Funds,4,2022,2025,1000,101,57,0,531,358,0.496667108167964,121.0,0.6611570247933884,121,0.6611570247933884,,,,,671287000,458498053.4116521,46.41,11.6,22.744912411293164
PTNT,Samantha McLemore,4,2022,2025,506,39,37,0,188,245,0.5565365350907273,116.0,0.5344827586206896,116,0.5344827586206896,,,,,1944571000,1328168157.9127104,46.41,11.6,22.67555828802144
AM,David Tepper,8,2018,2025,1000,35,166,0,192,472,0.5943935757059913,103.0,0.1650485436893204,179,0.3240223463687151,,,76.0,0.5394736842105263,5566703000,2596908032.935662,114.36,14.3,22.528094977806976
MAVFX,David Katz,4,2022,2025,1000,105,70,0,469,416,0.5399130516956605,145.0,0.5379310344827586,145,0.5379310344827586,,,,,906304000,619017826.6511849,46.41,11.6,22.3775713787408
TA,Third Avenue Management,8,2018,2025,1000,61,72,0,314,530,0.5568424981695883,98.0,0.2857142857142857,203,0.3793103448275862,,,105.0,0.4666666666666667,498713000,232653295.1065366,114.36,14.3,22.329953411667628
YAM,Yacktman Asset Management,5,2021,2025,1000,70,36,0,293,646,0.5881292678521572,179.0,0.3854748603351955,179,0.3854748603351955,,,,,7606669000,4723142979.55306,61.05,12.21,22.1173339603951
SAM,Michael Burry,7,2019,2025,495,1,179,0,69,53,0.4700764545226478,33.0,0.5151515151515151,65,0.5538461538461539,,,32.0,0.59375,13200000,6773687.160645325,94.87,13.55,22.03999062891449
vg,Viking Global Investors,4,2022,2025,1000,91,224,0,293,269,0.496434049337461,100.0,0.59,100,0.59,,,,,31475977000,21498515811.76149,46.41,11.6,22.02868098674922
TFP,Triple Frond Partners,9,2017,2025,175,10,20,0,48,89,0.5250778796390261,19.0,0.3157894736842105,34,0.3823529411764705,,,15.0,0.4666666666666667,739947000,313809760.42186487,135.79,15.09,22.025087004545227
GLRE,David Einhorn,9,2017,2025,1000,33,240,0,240,281,0.4770031070837992,99.0,0.4444444444444444,154,0.474025974025974,,,55.0,0.5272727272727272,1974395000,837336217.2265416,135.79,15.09,21.980321881935723
ENG,Glenn Welling,7,2019,2025,167,9,32,0,48,55,0.5255081356728735,18.0,0.3888888888888889,30,0.4333333333333333,,,12.0,0.5,392243000,201282679.76916695,94.87,13.55,21.9434960467908
PC,Norbert Lou,5,2020,2025,27,4,5,0,8,10,0.4664866558930395,6.0,0.8333333333333334,15,0.6,,,9.0,0.4444444444444444,216625000,134507081.60768944,61.05,12.21,21.82973311786079
KB,Kahn Brothers Group,9,2017,2025,1000,55,59,0,275,631,0.5405492409408816,100.0,0.42,167,0.3293413173652694,,,67.0,0.1940298507462686,494452000,209695915.5995117,135.79,15.09,21.804397992470328
FE,First Eagle Investment Management,2,2024,2025,1000,200,63,0,582,309,0.7935248198935281,,,0,0.0,,,,,46728162000,38618315702.47933,21.0,10.5,21.47049639787056
GR,Thomas Russo,5,2021,2025,1000,86,49,0,252,656,0.563336514006495,192.0,0.328125,192,0.328125,,,,,8919672000,5538414539.493699,61.05,12.21,21.0479802801299
ca,Francis Chou,13,2013,2025,255,32,58,0,44,103,0.4865814417875461,12.0,0.3333333333333333,21,0.1904761904761904,,,9.0,0.0,181865000,52679812.42081271,245.23,18.86,20.53639074051283
oc,Howard Marks,4,2022,2025,1000,53,266,0,166,205,0.3100492771219092,315.0,0.6761904761904762,315,0.6761904761904762,,,,,4044845000,2762683559.8661284,46.41,11.6,19.162890304342948
aq,Guy Spier - Aquamarine Capital,10,2015,2025,53,14,14,0,14,10,0.3521707279588382,1.0,0.0,10,0.4,,,9.0,0.4444444444444444,309842000,119457503.88342486,159.37,15.94,19.043414559176764
PI,Mohnish Pabrai,17,2009,2025,336,4,42,0,96,143,0.244763444698096,3.0,0.3333333333333333,38,0.3947368421052631,29.0,0.4137931034482758,6.0,0.3333333333333333,234824000,46458676.529805295,405.45,23.85,18.94263731501455
GFT,Bill & Melinda Gates Foundation Trust,19,2007,2025,626,25,162,0,163,116,0.1141011048113759,28.0,0.4642857142857143,149,0.5503355704697986,111.0,0.5585585585585585,10.0,0.7,41806379000,6835677034.023599,511.59,26.93,18.485377800925505
LMM,Bill Miller,5,2021,2025,1000,34,129,0,299,383,0.3386566701024346,274.0,0.4489051094890511,274,0.4489051094890511,,,,,219409000,136235726.57108614,61.05,12.21,17.762184496939206
CM,Greg Alexander,6,2020,2025,129,5,14,0,29,62,0.2623836498998276,19.0,0.4736842105263157,40,0.5,,,21.0,0.5238095238095238,659685000,372374984.547526,77.16,12.86,17.047672997996553
DAV,Christopher Davis,4,2022,2025,1000,104,29,0,306,628,0.3832645083452172,39.0,0.282051282051282,39,0.282051282051282,,,,,17349673000,11850060105.184069,46.41,11.6,16.685802987417162
TGM,Chase Coleman,6,2020,2025,1000,45,193,0,282,305,0.3034553854920705,282.0,0.2092198581560283,322,0.2732919254658385,,,40.0,0.725,26593870000,15011546314.239244,77.16,12.86,15.602026964499796
CAU,Sarah Ketterer,3,2023,2025,875,88,110,0,352,309,0.4560300128327156,,,0,0.0,,,,,4767605000,3581972201.352365,33.1,11.03,15.020600256654312
pcm,Polen Capital Management,3,2023,2025,1000,117,91,0,238,611,0.4554827826413566,,,0,0.0,,,,,31845098000,23925693463.561226,33.1,11.03,15.009655652827131
mc,Lee Ainslie,2,2024,2025,1000,200,230,0,323,182,0.420172439427031,,,0,0.0,,,,,5532077000,4571964462.8099165,21.0,10.5,14.003448788540618
tp,Daniel Loeb,6,2020,2025,1000,41,328,0,165,191,0.2251895715725038,138.0,0.2681159420289855,138,0.2681159420289855,,,,,6284121000,3547222477.803472,77.16,12.86,13.984950851739931
HH,Duan Yongping,4,2022,2025,81,11,9,0,26,40,0.290794734995305,,,0,0.0,,,,,12004289000,8199090909.090907,46.41,11.6,12.015894699906102
