ticker,company_name,top_managers,managers_shown,manager_count,total_value,avg_portfolio_pct,total_shares,max_portfolio_pct,consensus_score,first_period,latest_period,recent_buyers,_analysis_type,_generated,_periods,_window_quarters
SCHW,Charles Schwab Corp.,"Viking Global Investors, Bill Nygren, Francois Rochon, John Rogers, Mairs & Power Funds, +6 more",5,11,11497015000,2.52,124601895,6.56,27.71,Q1 2013,Q4 2025,9.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ADI,Analog Devices,"Glenn Greenberg, Lee Ainslie, First Pacific Advisors, Francois Rochon, Mairs & Power Funds, +6 more",5,11,1448359000,2.38,3646692,7.97,26.18,Q1 2020,Q4 2025,6.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MKL,Markel Group Inc.,"Francois Rochon, Josh Tarasoff, Thomas Russo, Christopher Davis, Steven Check",5,5,1057385000,5.07,541415,10.89,25.33,Q1 2013,Q4 2025,4.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
UNH,United Health Group Inc.,"First Eagle Investment Management, Glenn Greenberg, Duan Yongping, Chase Coleman, Hillman Capital Management, +12 more",5,17,5467811000,1.46,13155341,6.05,24.79,Q1 2009,Q4 2025,13.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
TMO,Thermo Fisher Scientific,"Viking Global Investors, First Pacific Advisors, Hillman Capital Management, Arnold Van Den Berg, Mairs & Power Funds, +6 more",5,11,3084625000,2.24,6152515,9.81,24.69,Q1 2017,Q4 2025,10.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
KHC,Kraft Heinz Co.,"Mason Hawkins, Lee Ainslie, Bill & Melinda Gates Foundation Trust, Bruce Berkowitz, Warren Buffett, +4 more",5,9,8190189000,2.72,346760173,12.8,24.49,Q1 2013,Q4 2025,6.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
PYPL,PayPal Holdings Inc.,"Mason Hawkins, David Einhorn, Norbert Lou, First Pacific Advisors, Francis Chou, +3 more",5,8,437133000,3.01,10123535,10.61,24.08,Q1 2016,Q4 2025,5.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BABA,Alibaba Group Holdings,"David Tepper, Duan Yongping, Bill Nygren, Dennis Hong, Dodge & Cox Funds, +4 more",5,9,1319879000,2.56,13751597,16.92,23.08,Q1 2020,Q4 2025,6.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CAT,Caterpillar Inc.,"Bill & Melinda Gates Foundation Trust, Bill Nygren, Mairs & Power Funds, Dodge & Cox Funds, Thomas Russo, +1 more",5,6,7179422000,3.75,6741875,19.65,22.52,Q1 2009,Q4 2025,0.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CNH,CNH Industrial NV,"Mason Hawkins, David Einhorn, Bill Nygren, First Pacific Advisors, Tweedy Browne",5,5,1056076000,4.45,94040669,17.11,22.26,Q1 2023,Q4 2025,3.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CP,Canadian Pacific Kansas City,"Chris Hohn, Sarah Ketterer, AKO Capital, Thomas Gayner, William Von Mueffling, +1 more",5,6,4744031000,3.57,54766096,7.44,21.41,Q1 2012,Q4 2025,5.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
LYV,Live Nation Inc.,"Mason Hawkins, Daniel Loeb, ValueAct Capital, Pat Dorsey, Dodge & Cox Funds, +3 more",5,8,571437000,2.63,3120724,7.69,21.06,Q1 2014,Q4 2025,6.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GM,General Motors,"Viking Global Investors, Bill Nygren, Prem Watsa, Samantha McLemore, Harry Burn, +2 more",5,7,2556109000,2.99,33161858,11.46,20.91,Q1 2011,Q4 2025,3.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BKNG,Booking Holdings Inc.,"First Eagle Investment Management, David Rolfe, Bill Nygren, Francois Rochon, Pat Dorsey, +1 more",5,6,5954724000,3.45,33408462,8.46,20.7,Q1 2018,Q4 2025,6.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
NFLX,Netflix Inc.,"Bill Ackman, Christopher Bloomstran, Bill Nygren, First Pacific Advisors, Josh Tarasoff, +6 more",5,11,2667183000,1.85,37355486,5.41,20.32,Q1 2014,Q4 2025,11.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
