manager,total_value,avg_portfolio_pct,position_count,avg_position_value,position_value_std,concentration_ratio,top_holding,top_holding_value,top_holding_pct,diversification_score,first_year,years_active,_analysis_type,_generated,_periods,_window_quarters
Stephen Mandel,12543848000,2.78,36,348440222.2222222,258402520.99235865,0.7415978538423705,VST,930180000,7.42,44.39956096047834,2018.0,8.0,manager_performance,2026-08-01,Q2 2026,1
John Armitage,10351358000,4.35,23,450059043.4782609,371587941.2184317,0.8256426497879726,V,1463159000,14.13,36.39356965073869,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Mairs & Power Funds,9772850000,0.5,200,48864250.0,111434235.30363558,2.280485944297428,NVDA,830380000,8.49,100.0,2025.0,1.0,manager_performance,2026-08-01,Q2 2026,1
Henry Ellenbogen,9713927000,2.7,37,262538567.5675676,245790169.816942,0.9362059528784656,RBC,1235943000,12.72,41.478219483934765,2023.0,3.0,manager_performance,2026-08-01,Q2 2026,1
John Rogers,8934262000,0.94,106,84285490.56603773,96962032.7396976,1.150400052114875,MSGE,359680000,4.03,70.14189251904342,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
Greenhaven Associates,8660706000,3.57,28,309310928.5714286,332860943.68724763,1.076137028926156,LEN,1024010000,11.82,37.10391326777547,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Lee Ainslie,8573578000,0.5,200,42867890.0,93099596.62585752,2.1717793114113504,NVDA,553706000,6.44,100.0,2025.0,1.0,manager_performance,2026-08-01,Q2 2026,1
Carl Icahn,8553641000,8.33,12,712803416.6666666,1261076311.8089,1.7691782647537817,IEP,4147974000,48.49,16.086538736686357,2013.0,13.0,manager_performance,2026-08-01,Q2 2026,1
Thomas Russo,8496284000,1.18,85,99956282.35294116,233569877.947265,2.3367203386230413,BRK.A,1048484000,12.34,54.28886436844751,2022.0,4.0,manager_performance,2026-08-01,Q2 2026,1
Sarah Ketterer,8121505000,0.94,106,76617971.6981132,195490490.810774,2.551496554633906,AZN,1438217000,17.71,60.53414320808132,2023.0,3.0,manager_performance,2026-08-01,Q2 2026,1
Yacktman Asset Management,7499158000,1.32,76,98673131.57894737,130597710.27654272,1.3235387200826074,CNQ,806072000,10.75,55.08634068079289,2022.0,4.0,manager_performance,2026-08-01,Q2 2026,1
First Pacific Advisors,6998756000,1.22,82,85350682.92682926,126000557.346492,1.4762688829861117,ADI,548198000,7.83,57.56600100256611,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
Chuck Akre,6115869000,5.26,19,321887842.1052632,297038986.2800024,0.922802751223096,MA,1139777000,18.64,32.61022439920942,2012.0,14.0,manager_performance,2026-08-01,Q2 2026,1
Ruane Cunniff LP,6028256000,2.0,50,120565120.0,163383853.65728056,1.35515025952183,GOOGL,608950000,10.1,44.70804075927238,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
David Tepper,5933477000,3.23,31,191402483.87096772,210068691.6483703,1.097523330940607,AMZN,899726000,15.16,37.15458226808228,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
ValueAct Capital,5712466000,5.56,18,317359222.2222222,201818466.94421303,0.6359306830002726,V,700063000,12.26,36.86018529827954,2012.0,14.0,manager_performance,2026-08-01,Q2 2026,1
Seth Klarman,5115380000,4.55,22,232517272.72727272,169224502.39849225,0.7277932534370525,AMZN,649543000,12.7,37.35318852983238,2016.0,10.0,manager_performance,2026-08-01,Q2 2026,1
AKO Capital,5108383000,3.7,27,189199370.3703704,151221448.10512626,0.7992703559694739,ALC,695604000,13.62,38.3874253696052,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Jensen Investment Management,5071981000,1.21,83,61108204.81927711,103596882.46825026,1.6953023374623784,MSFT,433472000,8.55,56.76547674950075,2022.0,4.0,manager_performance,2026-08-01,Q2 2026,1
David Abrams,4638237000,9.09,11,421657909.09090906,511036393.6046932,1.211969187786572,LOAR,1836158000,39.59,21.085575900987024,2013.0,13.0,manager_performance,2026-08-01,Q2 2026,1
Howard Marks,4306744000,1.92,52,82822000.0,129972215.9962674,1.5692957909283451,TRMD,675076000,15.67,42.77535120328451,2022.0,4.0,manager_performance,2026-08-01,Q2 2026,1
AltaRock Partners,4126337000,12.5,8,515792125.0,557638752.2805263,1.081130799118979,AMZN,1576176000,38.2,21.15524002849803,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Glenn Greenberg,4040159000,2.78,36,112226638.8888889,143174779.91365317,1.2757646609679256,SNX,515180000,12.75,38.75738239416216,2012.0,14.0,manager_performance,2026-08-01,Q2 2026,1
Nelson Peltz,3859779000,12.5,8,482472375.0,601129442.3081409,1.2459354637830629,JHG-OLD,1637049000,42.41,18.834463063283163,2015.0,11.0,manager_performance,2026-08-01,Q2 2026,1
Vulcan Value Partners,3772296000,3.03,33,114312000.0,118647900.91959064,1.037930409052336,EG,445126000,11.8,39.38081670048311,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
Valley Forge Capital Management,3375637000,14.28,7,482233857.14285713,310634160.0642298,0.6441566793021906,FICO,821303000,24.33,28.747436229382068,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Li Lu,3201225000,7.14,14,228658928.57142857,254263602.23275983,1.1119775808506551,GOOGL,731351000,22.85,27.94969623920757,2020.0,6.0,manager_performance,2026-08-01,Q2 2026,1
David Einhorn,3190733000,2.22,45,70905177.77777778,96232178.28472044,1.3571953600669249,GRBK,610173000,19.12,39.99098924672423,2018.0,8.0,manager_performance,2026-08-01,Q2 2026,1
Leon Cooperman,3048030000,2.5,40,76200750.0,101091755.37402923,1.3266503987694247,VRT,540699000,17.74,38.572072962516046,2018.0,8.0,manager_performance,2026-08-01,Q2 2026,1
Harry Burn,2984057000,2.5,40,74601425.0,21787861.76054904,0.2920569112526877,TEVA,117037000,3.92,53.04279147793429,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Francois Rochon,2731353000,1.96,51,53555941.176470585,56665406.06486881,1.0580601296530727,BRK.B,181437000,6.64,47.98483357631397,2020.0,6.0,manager_performance,2026-08-01,Q2 2026,1
Samantha McLemore,2681827000,2.63,38,70574394.73684211,46857830.79644298,0.6639494532141085,RPRX,174789000,6.52,46.2733938268687,2022.0,4.0,manager_performance,2026-08-01,Q2 2026,1
Lindsell Train,2628786000,3.57,28,93885214.28571428,131104991.00179982,1.3964391730823258,GOOGL,459880000,17.49,33.4715735306662,2018.0,8.0,manager_performance,2026-08-01,Q2 2026,1
Abrams Bison Investments,2310986000,9.09,11,210089636.3636364,227824462.34821787,1.0844155204014203,SUNB,817601000,35.38,23.17852380649255,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
Daniel Loeb,2082799000,3.03,33,63115121.21212121,87945802.2217226,1.3934188912693188,AMZN,404044000,19.4,34.91437085728436,2021.0,5.0,manager_performance,2026-08-01,Q2 2026,1
Mason Hawkins,2032771000,2.04,49,41485122.4489796,51867697.19907269,1.2502722454986626,RYN,221926000,10.92,44.655720221857855,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
Prem Watsa,1942670000,3.45,29,66988620.68965517,106617035.95526698,1.5915693569688845,ORLA-OLD,501579000,25.82,30.42999734667653,2012.0,14.0,manager_performance,2026-08-01,Q2 2026,1
Clifford Sosin,1748117000,20.0,5,349623400.0,608320814.3194674,1.7399316359244474,CVNA,1427691000,81.67,3.4481782957854925,2018.0,8.0,manager_performance,2026-08-01,Q2 2026,1
Steven Check,1621932000,2.04,49,33100653.06122449,86096128.5394488,2.601040178276889,BRK.B,531140000,32.75,33.10592620875869,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
Bruce Berkowitz,1514191000,10.0,10,151419100.0,375881327.6963445,2.4823904493973643,JOE,1206398000,79.67,3.713772075656125,2007.0,19.0,manager_performance,2026-08-01,Q2 2026,1
Wallace Weitz,1432545000,2.04,49,29235612.24489796,29712044.743964475,1.0162963065413368,BRK.B,133625000,9.33,46.6797655379187,2023.0,3.0,manager_performance,2026-08-01,Q2 2026,1
Tweedy Browne,1258817000,1.08,93,13535666.666666666,33471597.729929224,2.4728444157359,CNH,221654000,17.61,55.55545206081395,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
Pat Dorsey,1255862000,9.09,11,114169272.72727272,35086336.74549371,0.3073185622309066,ASML,185306000,14.76,37.91973505610274,2017.0,9.0,manager_performance,2026-08-01,Q2 2026,1
David Katz,1229781000,0.94,106,11601707.547169812,15227592.638407286,1.3125302957771932,MSFT,64487000,5.24,68.80080301788118,2023.0,3.0,manager_performance,2026-08-01,Q2 2026,1
Triple Frond Partners,962895000,8.33,12,80241250.0,42828703.87129938,0.5337492109270404,ASML,157069000,16.31,34.46691226353568,2017.0,9.0,manager_performance,2026-08-01,Q2 2026,1
Christopher Bloomstran,837341000,2.27,44,19030477.272727277,28888777.753926363,1.518026970102694,BRK.B,121250000,14.48,40.17009002214797,2018.0,8.0,manager_performance,2026-08-01,Q2 2026,1
Torray Funds,673358000,1.14,88,7651795.454545454,8946469.377664927,1.1691987103955306,AVGO,38330000,5.69,62.32299162604601,2023.0,3.0,manager_performance,2026-08-01,Q2 2026,1
William Von Mueffling,665115000,3.7,27,24633888.888888888,16299743.60424429,0.6616796754164255,AVGO,70549000,10.61,40.671021147295946,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Third Avenue Management,616039000,1.89,53,11623377.358490566,13362128.017743072,1.1495908293799302,TDW,76965000,12.49,46.40914439267672,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Kahn Brothers Group,564067000,2.13,47,12001425.531914894,20468204.646894656,1.7054811190940948,C,95366000,16.91,39.81560076245707,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Greg Alexander,523825000,16.67,6,87304166.66666667,95035476.62513544,1.0885560249144517,GPI,249636000,47.66,17.465991026397685,2020.0,6.0,manager_performance,2026-08-01,Q2 2026,1
