ticker,company_name,current_price,manager,total_value,portfolio_pct,risk_level,_analysis_type,_generated,_periods,_window_quarters
BN,Brookfield Corp.,41.22,Josh Tarasoff,59317000,16.29,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
EGO,Eldorado Gold Corp.,44.84,Prem Watsa,427002000,16.18,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,Amazon.com Inc.,259.77,Dennis Hong,37424000,16.13,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
TKO,TKO Group Holdings Inc.,182.61,Lindsell Train,422522000,16.07,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,Amazon.com Inc.,259.77,David Tepper,1191700000,15.95,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BRK.A,Berkshire Hathaway CL A,756650.01,Guy Spier - Aquamarine Capital,22466000,15.59,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GOOG,Alphabet Inc. CL C,335.41,Bryan Lawrence,41750000,15.55,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GXO,Gxo Logistics Inc.,47.73,Glenn Welling,49928000,15.46,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BRK.B,Berkshire Hathaway CL B,504.03,Christopher Bloomstran,136679000,15.45,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AXP,American Express,330.17,Guy Spier - Aquamarine Capital,21986000,15.26,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
ALC,Alcon Inc.,72.06,AKO Capital,651941000,15.19,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
MU,Micron Technology Inc.,958.73,David Tepper,1125433000,15.06,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
SOLV,Solventum Corp,91.06,Nelson Peltz,635465000,15.02,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BRK.B,Berkshire Hathaway CL B,504.03,Li Lu,554591000,14.98,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
