ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,avg_reported_price,max_portfolio_pct,price_change_pct,52_week_low,discount_to_52w_low_pct,recent_buy_count,value_opportunity_score,value_type,_analysis_type,_generated,_periods,_window_quarters
ORCL,Oracle Corp.,149.12,14,"First Eagle Investment Management, Bill Nygren, John Rogers, Hillman Capital Management, Mairs & Power Funds, +5 more",1993536000,0.96,146.53857142857143,4.51,1.761603478362598,114.5,30.23580786026201,12.0,29.96713817841547,Value Opportunity,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
JPM,JPMorgan Chase & Co.,356.02,15,"Kahn Brothers Group, Viking Global Investors, Glenn Greenberg, Bill Nygren, Francois Rochon, +5 more",1721146000,0.8,327.3226666666667,3.54,8.767291805842946,276.43,28.79209926563686,11.0,29.95839503671816,Value Opportunity,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BRK.A,Berkshire Hathaway CL A,756650.01,17,"First Eagle Investment Management, Christopher Bloomstran, Norbert Lou, Bruce Berkowitz, Francois Rochon, +5 more",3540571000,8.48,748852.6876470587,42.42,1.0412358106693764,698000.0,8.402580229226363,4.0,29.818694517950448,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
NFLX,Netflix Inc.,81.05,11,"Bill Ackman, Christopher Bloomstran, Bill Nygren, First Pacific Advisors, Josh Tarasoff, +5 more",2667183000,1.85,71.4109090909091,5.41,13.49806497606679,65.08,24.53902888752305,14.0,29.69668491926021,Value Opportunity,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
ACN,Accenture,189.76,12,"First Eagle Investment Management, Bill Nygren, Hillman Capital Management, Ruane Cunniff LP, Wallace Weitz, +5 more",1614207000,1.16,124.43583333333332,4.86,52.49626648272536,116.75,62.535331905781575,15.0,29.455316738044253,Value Opportunity,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
CVNA,Carvana Co.,73.46,7,"Viking Global Investors, Stephen Mandel, Lee Ainslie, Henry Ellenbogen, Clifford Sosin, +2 more",3722970000,17.37,65.82142857142857,78.85,11.604991861096032,54.46,34.887991186191684,10.0,28.94060044069041,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
TXN,Texas Instruments,260.91,14,"First Eagle Investment Management, Glenn Greenberg, Lee Ainslie, Bill Nygren, Arnold Van Den Berg, +5 more",1696913000,1.21,298.1092857142857,3.93,-12.478405570344515,150.2,73.70838881491349,10.0,28.413475959037516,Price Discount,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
UNP,Union Pacific,300.67,11,"Viking Global Investors, Daniel Loeb, Bill Nygren, Mairs & Power Funds, Dodge & Cox Funds, +5 more",2148935000,1.08,271.99454545454546,5.95,10.542657941001494,206.49,45.60995689863916,14.0,28.26086579143168,Value Opportunity,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
PEP,PepsiCo Inc.,140.34,11,"Kahn Brothers Group, Bill Nygren, Mairs & Power Funds, Dodge & Cox Funds, Thomas Russo, +5 more",502631000,1.37,135.40636363636364,5.27,3.6435779169771823,133.4,5.202398800599698,11.0,27.423970969060925,Near 52W Low,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
HD,Home Depot,327.83,10,"First Eagle Investment Management, Viking Global Investors, Stephen Mandel, Bill & Melinda Gates Foundation Trust, Mairs & Power Funds, +5 more",2024989000,1.26,352.653,5.61,-7.038930620184725,286.95,14.24638438752396,11.0,27.322966904660746,Near 52W Low,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
EFX,Equifax Inc.,189.16,9,"Bill Nygren, Hillman Capital Management, Wallace Weitz, AKO Capital, Vulcan Value Partners, +4 more",1557577000,1.1,158.72666666666666,2.27,19.17342181527994,150.31,25.84658372696427,14.0,27.2587819247629,Value Opportunity,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
